, where, what, value
153, GPU[1].SA[9].CU[3], inst_count, 47197.000000000000
154, GPU[1].SA[10].CU[0], inst_count, 39996.000000000000
155, GPU[1].SA[10].CU[1], inst_count, 41550.000000000000
156, GPU[1].SA[10].CU[2], inst_count, 47067.000000000000
157, GPU[1].SA[10].CU[3], inst_count, 47441.000000000000
158, GPU[1].SA[11].CU[0], inst_count, 39060.000000000000
159, GPU[1].SA[11].CU[1], inst_count, 46849.000000000000
160, GPU[1].SA[11].CU[2], inst_count, 46315.000000000000
161, GPU[1].SA[11].CU[3], inst_count, 44762.000000000000
162, GPU[1].SA[12].CU[0], inst_count, 36088.000000000000
163, GPU[1].SA[12].CU[1], inst_count, 44818.000000000000
164, GPU[1].SA[12].CU[2], inst_count, 41340.000000000000
165, GPU[1].SA[12].CU[3], inst_count, 42040.000000000000
166, GPU[1].SA[13].CU[0], inst_count, 39052.000000000000
167, GPU[1].SA[13].CU[1], inst_count, 47275.000000000000
168, GPU[1].SA[13].CU[2], inst_count, 46905.000000000000
169, GPU[1].SA[13].CU[3], inst_count, 42264.000000000000
170, GPU[1].SA[14].CU[0], inst_count, 38645.000000000000
171, GPU[1].SA[14].CU[1], inst_count, 47239.000000000000
172, GPU[1].SA[14].CU[2], inst_count, 42751.000000000000
173, GPU[1].SA[14].CU[3], inst_count, 38493.000000000000
174, GPU[1].SA[15].CU[0], inst_count, 36002.000000000000
175, GPU[1].SA[15].CU[1], inst_count, 47352.000000000000
176, GPU[1].SA[15].CU[2], inst_count, 47953.000000000000
177, GPU[1].SA[15].CU[3], inst_count, 47671.000000000000
178, GPU[2].SA[0].CU[0], inst_count, 46654.000000000000
179, GPU[2].SA[0].CU[1], inst_count, 43516.000000000000
180, GPU[2].SA[0].CU[2], inst_count, 45559.000000000000
181, GPU[2].SA[0].CU[3], inst_count, 55420.000000000000
182, GPU[2].SA[1].CU[0], inst_count, 57439.000000000000
183, GPU[2].SA[1].CU[1], inst_count, 46689.000000000000
184, GPU[2].SA[1].CU[2], inst_count, 47441.000000000000
185, GPU[2].SA[1].CU[3], inst_count, 53500.000000000000
186, GPU[2].SA[2].CU[0], inst_count, 48891.000000000000
187, GPU[2].SA[2].CU[1], inst_count, 44602.000000000000
188, GPU[2].SA[2].CU[2], inst_count, 47848.000000000000
189, GPU[2].SA[2].CU[3], inst_count, 56322.000000000000
190, GPU[2].SA[3].CU[0], inst_count, 47742.000000000000
191, GPU[2].SA[3].CU[1], inst_count, 46568.000000000000
192, GPU[2].SA[3].CU[2], inst_count, 43051.000000000000
193, GPU[2].SA[3].CU[3], inst_count, 45992.000000000000
194, GPU[2].SA[4].CU[0], inst_count, 55041.000000000000
195, GPU[2].SA[4].CU[1], inst_count, 45457.000000000000
196, GPU[2].SA[4].CU[2], inst_count, 42183.000000000000
197, GPU[2].SA[4].CU[3], inst_count, 47753.000000000000
198, GPU[2].SA[5].CU[0], inst_count, 47466.000000000000
199, GPU[2].SA[5].CU[1], inst_count, 42236.000000000000
200, GPU[2].SA[5].CU[2], inst_count, 47030.000000000000
201, GPU[2].SA[5].CU[3], inst_count, 51694.000000000000
202, GPU[2].SA[6].CU[0], inst_count, 55266.000000000000
203, GPU[2].SA[6].CU[1], inst_count, 41078.000000000000
204, GPU[2].SA[6].CU[2], inst_count, 47362.000000000000
205, GPU[2].SA[6].CU[3], inst_count, 47119.000000000000
206, GPU[2].SA[7].CU[0], inst_count, 58056.000000000000
207, GPU[2].SA[7].CU[1], inst_count, 47427.000000000000
208, GPU[2].SA[7].CU[2], inst_count, 47991.000000000000
209, GPU[2].SA[7].CU[3], inst_count, 46066.000000000000
210, GPU[2].SA[8].CU[0], inst_count, 51745.000000000000
211, GPU[2].SA[8].CU[1], inst_count, 45858.000000000000
212, GPU[2].SA[8].CU[2], inst_count, 42068.000000000000
213, GPU[2].SA[8].CU[3], inst_count, 50338.000000000000
214, GPU[2].SA[9].CU[0], inst_count, 47170.000000000000
215, GPU[2].SA[9].CU[1], inst_count, 44047.000000000000
216, GPU[2].SA[9].CU[2], inst_count, 44682.000000000000
217, GPU[2].SA[9].CU[3], inst_count, 56893.000000000000
218, GPU[2].SA[10].CU[0], inst_count, 47409.000000000000
219, GPU[2].SA[10].CU[1], inst_count, 46803.000000000000
220, GPU[2].SA[10].CU[2], inst_count, 44018.000000000000
221, GPU[2].SA[10].CU[3], inst_count, 52199.000000000000
222, GPU[2].SA[11].CU[0], inst_count, 59389.000000000000
223, GPU[2].SA[11].CU[1], inst_count, 42692.000000000000
224, GPU[2].SA[11].CU[2], inst_count, 44654.000000000000
225, GPU[2].SA[11].CU[3], inst_count, 49480.000000000000
226, GPU[2].SA[12].CU[0], inst_count, 51442.000000000000
227, GPU[2].SA[12].CU[1], inst_count, 44999.000000000000
